"","Animal","Cage","Strain","Genotype","Age","Assay","Values","Feeding","Treatment","Cohort"
"31","C57BL/6J-EarTag #132",2061509,"C57BL/6J","+/+",69,"Body Weight",25550,"fed","[<Treatment: Normal Chow Diet>]","Cohort 3"
"32","C57BL/6J-EarTag #133",2061510,"C57BL/6J","+/+",69,"Body Weight",26050,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"33","C57BL/6J-EarTag #134",2061510,"C57BL/6J","+/+",69,"Body Weight",26650,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"34","C57BL/6J-EarTag #135",2061510,"C57BL/6J","+/+",69,"Body Weight",26720,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"35","C57BL/6J-EarTag #136",2061510,"C57BL/6J","+/+",69,"Body Weight",26770,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"36","C57BL/6J-EarTag #102",2061503,"C57BL/6J","+/+",83,"Body Weight",25650,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"37","C57BL/6J-EarTag #103",2061503,"C57BL/6J","+/+",83,"Body Weight",27350,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"38","C57BL/6J-EarTag #104",2061503,"C57BL/6J","+/+",83,"Body Weight",27010,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"39","C57BL/6J-EarTag #105",2061503,"C57BL/6J","+/+",83,"Body Weight",27030,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"40","C57BL/6J-EarTag #106",2061504,"C57BL/6J","+/+",83,"Body Weight",26620,"fed","[<Treatment: Normal Chow Diet>]","Cohort 3"
"41","C57BL/6J-EarTag #107",2061504,"C57BL/6J","+/+",83,"Body Weight",24100,"fed","[<Treatment: Normal Chow Diet>]","Cohort 3"
"42","C57BL/6J-EarTag #108",2061504,"C57BL/6J","+/+",83,"Body Weight",25580,"fed","[<Treatment: Normal Chow Diet>]","Cohort 3"
"43","C57BL/6J-EarTag #109",2061504,"C57BL/6J","+/+",83,"Body Weight",25430,"fed","[<Treatment: Normal Chow Diet>]","Cohort 3"
"44","C57BL/6J-EarTag #110",2061504,"C57BL/6J","+/+",83,"Body Weight",26500,"fed","[<Treatment: Normal Chow Diet>]","Cohort 3"
"45","C57BL/6J-EarTag #111",2061505,"C57BL/6J","+/+",83,"Body Weight",28920,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"46","C57BL/6J-EarTag #112",2061505,"C57BL/6J","+/+",83,"Body Weight",26670,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"47","C57BL/6J-EarTag #113",2061505,"C57BL/6J","+/+",83,"Body Weight",27860,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"48","C57BL/6J-EarTag #114",2061505,"C57BL/6J","+/+",83,"Body Weight",29030,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"49","C57BL/6J-EarTag #115",2061506,"C57BL/6J","+/+",83,"Body Weight",27420,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"50","C57BL/6J-EarTag #116",2061506,"C57BL/6J","+/+",83,"Body Weight",32460,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"51","C57BL/6J-EarTag #117",2061506,"C57BL/6J","+/+",83,"Body Weight",23910,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"52","C57BL/6J-EarTag #118",2061506,"C57BL/6J","+/+",83,"Body Weight",24080,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"53","C57BL/6J-EarTag #119",2061507,"C57BL/6J","+/+",83,"Body Weight",30100,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"54","C57BL/6J-EarTag #120",2061507,"C57BL/6J","+/+",83,"Body Weight",26880,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"55","C57BL/6J-EarTag #121",2061507,"C57BL/6J","+/+",83,"Body Weight",30620,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"56","C57BL/6J-EarTag #122",2061507,"C57BL/6J","+/+",83,"Body Weight",28350,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"57","C57BL/6J-EarTag #123",2061508,"C57BL/6J","+/+",83,"Body Weight",23060,"fed","[<Treatment: Normal Chow Diet>]","Cohort 3"
"58","C57BL/6J-EarTag #124",2061508,"C57BL/6J","+/+",83,"Body Weight",23880,"fed","[<Treatment: Normal Chow Diet>]","Cohort 3"
"59","C57BL/6J-EarTag #125",2061508,"C57BL/6J","+/+",83,"Body Weight",24730,"fed","[<Treatment: Normal Chow Diet>]","Cohort 3"
"60","C57BL/6J-EarTag #126",2061508,"C57BL/6J","+/+",83,"Body Weight",23050,"fed","[<Treatment: Normal Chow Diet>]","Cohort 3"
"61","C57BL/6J-EarTag #127",2061508,"C57BL/6J","+/+",83,"Body Weight",22110,"fed","[<Treatment: Normal Chow Diet>]","Cohort 3"
"62","C57BL/6J-EarTag #128",2061509,"C57BL/6J","+/+",83,"Body Weight",25520,"fed","[<Treatment: Normal Chow Diet>]","Cohort 3"
"63","C57BL/6J-EarTag #129",2061509,"C57BL/6J","+/+",83,"Body Weight",26960,"fed","[<Treatment: Normal Chow Diet>]","Cohort 3"
"64","C57BL/6J-EarTag #130",2061509,"C57BL/6J","+/+",83,"Body Weight",24510,"fed","[<Treatment: Normal Chow Diet>]","Cohort 3"
"65","C57BL/6J-EarTag #131",2061509,"C57BL/6J","+/+",83,"Body Weight",25960,"fed","[<Treatment: Normal Chow Diet>]","Cohort 3"
"66","C57BL/6J-EarTag #132",2061509,"C57BL/6J","+/+",83,"Body Weight",27880,"fed","[<Treatment: Normal Chow Diet>]","Cohort 3"
"67","C57BL/6J-EarTag #133",2061510,"C57BL/6J","+/+",83,"Body Weight",29110,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"68","C57BL/6J-EarTag #134",2061510,"C57BL/6J","+/+",83,"Body Weight",30170,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"69","C57BL/6J-EarTag #135",2061510,"C57BL/6J","+/+",83,"Body Weight",29560,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"70","C57BL/6J-EarTag #136",2061510,"C57BL/6J","+/+",83,"Body Weight",29050,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"71","C57BL/6J-EarTag #102",2061503,"C57BL/6J","+/+",97,"Body Weight",25910,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"72","C57BL/6J-EarTag #103",2061503,"C57BL/6J","+/+",97,"Body Weight",30080,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"73","C57BL/6J-EarTag #104",2061503,"C57BL/6J","+/+",97,"Body Weight",30410,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"74","C57BL/6J-EarTag #105",2061503,"C57BL/6J","+/+",97,"Body Weight",30140,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"75","C57BL/6J-EarTag #106",2061504,"C57BL/6J","+/+",97,"Body Weight",28330,"fed","[<Treatment: Normal Chow Diet>]","Cohort 3"
"76","C57BL/6J-EarTag #107",2061504,"C57BL/6J","+/+",97,"Body Weight",25520,"fed","[<Treatment: Normal Chow Diet>]","Cohort 3"
"77","C57BL/6J-EarTag #108",2061504,"C57BL/6J","+/+",97,"Body Weight",27760,"fed","[<Treatment: Normal Chow Diet>]","Cohort 3"
"78","C57BL/6J-EarTag #109",2061504,"C57BL/6J","+/+",97,"Body Weight",27020,"fed","[<Treatment: Normal Chow Diet>]","Cohort 3"
"79","C57BL/6J-EarTag #110",2061504,"C57BL/6J","+/+",97,"Body Weight",27900,"fed","[<Treatment: Normal Chow Diet>]","Cohort 3"
"80","C57BL/6J-EarTag #111",2061505,"C57BL/6J","+/+",97,"Body Weight",32600,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"81","C57BL/6J-EarTag #112",2061505,"C57BL/6J","+/+",97,"Body Weight",31200,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"82","C57BL/6J-EarTag #113",2061505,"C57BL/6J","+/+",97,"Body Weight",30220,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"83","C57BL/6J-EarTag #114",2061505,"C57BL/6J","+/+",97,"Body Weight",31560,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"84","C57BL/6J-EarTag #115",2061506,"C57BL/6J","+/+",97,"Body Weight",30850,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"85","C57BL/6J-EarTag #116",2061506,"C57BL/6J","+/+",97,"Body Weight",36310,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"86","C57BL/6J-EarTag #117",2061506,"C57BL/6J","+/+",97,"Body Weight",26440,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"87","C57BL/6J-EarTag #118",2061506,"C57BL/6J","+/+",97,"Body Weight",26400,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"88","C57BL/6J-EarTag #119",2061507,"C57BL/6J","+/+",97,"Body Weight",35190,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"89","C57BL/6J-EarTag #120",2061507,"C57BL/6J","+/+",97,"Body Weight",30680,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"90","C57BL/6J-EarTag #121",2061507,"C57BL/6J","+/+",97,"Body Weight",35540,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"91","C57BL/6J-EarTag #122",2061507,"C57BL/6J","+/+",97,"Body Weight",31450,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"92","C57BL/6J-EarTag #123",2061508,"C57BL/6J","+/+",97,"Body Weight",25120,"fed","[<Treatment: Normal Chow Diet>]","Cohort 3"
"93","C57BL/6J-EarTag #124",2061508,"C57BL/6J","+/+",97,"Body Weight",24760,"fed","[<Treatment: Normal Chow Diet>]","Cohort 3"
"94","C57BL/6J-EarTag #125",2061508,"C57BL/6J","+/+",97,"Body Weight",25330,"fed","[<Treatment: Normal Chow Diet>]","Cohort 3"
"95","C57BL/6J-EarTag #126",2061508,"C57BL/6J","+/+",97,"Body Weight",24570,"fed","[<Treatment: Normal Chow Diet>]","Cohort 3"
"96","C57BL/6J-EarTag #127",2061508,"C57BL/6J","+/+",97,"Body Weight",22850,"fed","[<Treatment: Normal Chow Diet>]","Cohort 3"
"97","C57BL/6J-EarTag #128",2061509,"C57BL/6J","+/+",97,"Body Weight",27080,"fed","[<Treatment: Normal Chow Diet>]","Cohort 3"
"98","C57BL/6J-EarTag #129",2061509,"C57BL/6J","+/+",97,"Body Weight",28900,"fed","[<Treatment: Normal Chow Diet>]","Cohort 3"
"99","C57BL/6J-EarTag #130",2061509,"C57BL/6J","+/+",97,"Body Weight",25840,"fed","[<Treatment: Normal Chow Diet>]","Cohort 3"
"100","C57BL/6J-EarTag #131",2061509,"C57BL/6J","+/+",97,"Body Weight",26660,"fed","[<Treatment: Normal Chow Diet>]","Cohort 3"
"101","C57BL/6J-EarTag #132",2061509,"C57BL/6J","+/+",97,"Body Weight",30150,"fed","[<Treatment: Normal Chow Diet>]","Cohort 3"
"102","C57BL/6J-EarTag #133",2061510,"C57BL/6J","+/+",97,"Body Weight",32220,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"103","C57BL/6J-EarTag #134",2061510,"C57BL/6J","+/+",97,"Body Weight",34040,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"104","C57BL/6J-EarTag #135",2061510,"C57BL/6J","+/+",97,"Body Weight",33940,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"105","C57BL/6J-EarTag #136",2061510,"C57BL/6J","+/+",97,"Body Weight",32710,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"106","C57BL/6J-EarTag #102",2061503,"C57BL/6J","+/+",111,"Body Weight",31540,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"107","C57BL/6J-EarTag #103",2061503,"C57BL/6J","+/+",111,"Body Weight",31820,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"108","C57BL/6J-EarTag #104",2061503,"C57BL/6J","+/+",111,"Body Weight",31490,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"109","C57BL/6J-EarTag #105",2061503,"C57BL/6J","+/+",111,"Body Weight",31310,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"110","C57BL/6J-EarTag #106",2061504,"C57BL/6J","+/+",111,"Body Weight",28560,"fed","[<Treatment: Normal Chow Diet>]","Cohort 3"
"111","C57BL/6J-EarTag #107",2061504,"C57BL/6J","+/+",111,"Body Weight",26870,"fed","[<Treatment: Normal Chow Diet>]","Cohort 3"
"112","C57BL/6J-EarTag #108",2061504,"C57BL/6J","+/+",111,"Body Weight",30100,"fed","[<Treatment: Normal Chow Diet>]","Cohort 3"
"113","C57BL/6J-EarTag #109",2061504,"C57BL/6J","+/+",111,"Body Weight",28290,"fed","[<Treatment: Normal Chow Diet>]","Cohort 3"
"114","C57BL/6J-EarTag #110",2061504,"C57BL/6J","+/+",111,"Body Weight",28670,"fed","[<Treatment: Normal Chow Diet>]","Cohort 3"
"115","C57BL/6J-EarTag #111",2061505,"C57BL/6J","+/+",111,"Body Weight",34300,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"116","C57BL/6J-EarTag #112",2061505,"C57BL/6J","+/+",111,"Body Weight",34530,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"117","C57BL/6J-EarTag #113",2061505,"C57BL/6J","+/+",111,"Body Weight",33500,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"118","C57BL/6J-EarTag #114",2061505,"C57BL/6J","+/+",111,"Body Weight",34890,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"119","C57BL/6J-EarTag #115",2061506,"C57BL/6J","+/+",111,"Body Weight",33010,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"120","C57BL/6J-EarTag #116",2061506,"C57BL/6J","+/+",111,"Body Weight",41070,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"121","C57BL/6J-EarTag #117",2061506,"C57BL/6J","+/+",111,"Body Weight",29060,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"122","C57BL/6J-EarTag #118",2061506,"C57BL/6J","+/+",111,"Body Weight",28100,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"123","C57BL/6J-EarTag #119",2061507,"C57BL/6J","+/+",111,"Body Weight",37340,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"124","C57BL/6J-EarTag #120",2061507,"C57BL/6J","+/+",111,"Body Weight",30690,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"125","C57BL/6J-EarTag #121",2061507,"C57BL/6J","+/+",111,"Body Weight",37620,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"126","C57BL/6J-EarTag #122",2061507,"C57BL/6J","+/+",111,"Body Weight",32820,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"127","C57BL/6J-EarTag #123",2061508,"C57BL/6J","+/+",111,"Body Weight",26210,"fed","[<Treatment: Normal Chow Diet>]","Cohort 3"
"128","C57BL/6J-EarTag #124",2061508,"C57BL/6J","+/+",111,"Body Weight",24950,"fed","[<Treatment: Normal Chow Diet>]","Cohort 3"
"129","C57BL/6J-EarTag #125",2061508,"C57BL/6J","+/+",111,"Body Weight",25580,"fed","[<Treatment: Normal Chow Diet>]","Cohort 3"
"130","C57BL/6J-EarTag #126",2061508,"C57BL/6J","+/+",111,"Body Weight",24960,"fed","[<Treatment: Normal Chow Diet>]","Cohort 3"
"131","C57BL/6J-EarTag #127",2061508,"C57BL/6J","+/+",111,"Body Weight",23460,"fed","[<Treatment: Normal Chow Diet>]","Cohort 3"
"132","C57BL/6J-EarTag #128",2061509,"C57BL/6J","+/+",111,"Body Weight",27810,"fed","[<Treatment: Normal Chow Diet>]","Cohort 3"
"133","C57BL/6J-EarTag #129",2061509,"C57BL/6J","+/+",111,"Body Weight",28820,"fed","[<Treatment: Normal Chow Diet>]","Cohort 3"
"134","C57BL/6J-EarTag #130",2061509,"C57BL/6J","+/+",111,"Body Weight",25190,"fed","[<Treatment: Normal Chow Diet>]","Cohort 3"
"135","C57BL/6J-EarTag #131",2061509,"C57BL/6J","+/+",111,"Body Weight",27860,"fed","[<Treatment: Normal Chow Diet>]","Cohort 3"
"136","C57BL/6J-EarTag #132",2061509,"C57BL/6J","+/+",111,"Body Weight",30330,"fed","[<Treatment: Normal Chow Diet>]","Cohort 3"
"137","C57BL/6J-EarTag #133",2061510,"C57BL/6J","+/+",111,"Body Weight",34790,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"138","C57BL/6J-EarTag #134",2061510,"C57BL/6J","+/+",111,"Body Weight",35690,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"139","C57BL/6J-EarTag #135",2061510,"C57BL/6J","+/+",111,"Body Weight",36600,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"140","C57BL/6J-EarTag #136",2061510,"C57BL/6J","+/+",111,"Body Weight",35480,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"141","C57BL/6J-EarTag #102",2061503,"C57BL/6J","+/+",125,"Body Weight",31950,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"142","C57BL/6J-EarTag #103",2061503,"C57BL/6J","+/+",125,"Body Weight",31400,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"143","C57BL/6J-EarTag #104",2061503,"C57BL/6J","+/+",125,"Body Weight",33380,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"144","C57BL/6J-EarTag #105",2061503,"C57BL/6J","+/+",125,"Body Weight",31650,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"145","C57BL/6J-EarTag #106",2061504,"C57BL/6J","+/+",125,"Body Weight",30120,"fed","[<Treatment: Normal Chow Diet>]","Cohort 3"
"146","C57BL/6J-EarTag #107",2061504,"C57BL/6J","+/+",125,"Body Weight",27220,"fed","[<Treatment: Normal Chow Diet>]","Cohort 3"
"147","C57BL/6J-EarTag #108",2061504,"C57BL/6J","+/+",125,"Body Weight",30270,"fed","[<Treatment: Normal Chow Diet>]","Cohort 3"
"148","C57BL/6J-EarTag #109",2061504,"C57BL/6J","+/+",125,"Body Weight",29050,"fed","[<Treatment: Normal Chow Diet>]","Cohort 3"
"149","C57BL/6J-EarTag #110",2061504,"C57BL/6J","+/+",125,"Body Weight",30270,"fed","[<Treatment: Normal Chow Diet>]","Cohort 3"
"150","C57BL/6J-EarTag #111",2061505,"C57BL/6J","+/+",125,"Body Weight",38230,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"151","C57BL/6J-EarTag #112",2061505,"C57BL/6J","+/+",125,"Body Weight",37620,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"152","C57BL/6J-EarTag #113",2061505,"C57BL/6J","+/+",125,"Body Weight",35880,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"153","C57BL/6J-EarTag #114",2061505,"C57BL/6J","+/+",125,"Body Weight",37430,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"154","C57BL/6J-EarTag #115",2061506,"C57BL/6J","+/+",125,"Body Weight",35490,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"155","C57BL/6J-EarTag #116",2061506,"C57BL/6J","+/+",125,"Body Weight",45470,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"156","C57BL/6J-EarTag #117",2061506,"C57BL/6J","+/+",125,"Body Weight",30090,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"157","C57BL/6J-EarTag #118",2061506,"C57BL/6J","+/+",125,"Body Weight",30940,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"158","C57BL/6J-EarTag #119",2061507,"C57BL/6J","+/+",125,"Body Weight",39520,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"159","C57BL/6J-EarTag #120",2061507,"C57BL/6J","+/+",125,"Body Weight",32610,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"160","C57BL/6J-EarTag #121",2061507,"C57BL/6J","+/+",125,"Body Weight",40440,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"161","C57BL/6J-EarTag #122",2061507,"C57BL/6J","+/+",125,"Body Weight",33470,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"162","C57BL/6J-EarTag #123",2061508,"C57BL/6J","+/+",125,"Body Weight",26420,"fed","[<Treatment: Normal Chow Diet>]","Cohort 3"
"163","C57BL/6J-EarTag #124",2061508,"C57BL/6J","+/+",125,"Body Weight",27020,"fed","[<Treatment: Normal Chow Diet>]","Cohort 3"
"164","C57BL/6J-EarTag #125",2061508,"C57BL/6J","+/+",125,"Body Weight",26340,"fed","[<Treatment: Normal Chow Diet>]","Cohort 3"
"165","C57BL/6J-EarTag #126",2061508,"C57BL/6J","+/+",125,"Body Weight",25950,"fed","[<Treatment: Normal Chow Diet>]","Cohort 3"
"166","C57BL/6J-EarTag #127",2061508,"C57BL/6J","+/+",125,"Body Weight",24520,"fed","[<Treatment: Normal Chow Diet>]","Cohort 3"
"167","C57BL/6J-EarTag #128",2061509,"C57BL/6J","+/+",125,"Body Weight",29280,"fed","[<Treatment: Normal Chow Diet>]","Cohort 3"
"168","C57BL/6J-EarTag #129",2061509,"C57BL/6J","+/+",125,"Body Weight",29890,"fed","[<Treatment: Normal Chow Diet>]","Cohort 3"
"169","C57BL/6J-EarTag #130",2061509,"C57BL/6J","+/+",125,"Body Weight",26080,"fed","[<Treatment: Normal Chow Diet>]","Cohort 3"
"170","C57BL/6J-EarTag #131",2061509,"C57BL/6J","+/+",125,"Body Weight",28320,"fed","[<Treatment: Normal Chow Diet>]","Cohort 3"
"171","C57BL/6J-EarTag #132",2061509,"C57BL/6J","+/+",125,"Body Weight",31130,"fed","[<Treatment: Normal Chow Diet>]","Cohort 3"
"172","C57BL/6J-EarTag #133",2061510,"C57BL/6J","+/+",125,"Body Weight",37490,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"173","C57BL/6J-EarTag #134",2061510,"C57BL/6J","+/+",125,"Body Weight",37660,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"174","C57BL/6J-EarTag #135",2061510,"C57BL/6J","+/+",125,"Body Weight",39530,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"175","C57BL/6J-EarTag #136",2061510,"C57BL/6J","+/+",125,"Body Weight",38460,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"176","C57BL/6J-EarTag #102",2061503,"C57BL/6J","+/+",139,"Body Weight",33220,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"177","C57BL/6J-EarTag #103",2061503,"C57BL/6J","+/+",139,"Body Weight",33020,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"178","C57BL/6J-EarTag #104",2061503,"C57BL/6J","+/+",139,"Body Weight",34890,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"179","C57BL/6J-EarTag #105",2061503,"C57BL/6J","+/+",139,"Body Weight",32170,"fed","[<Treatment: High Fat Diet>]","Cohort 3"
"180","C57BL/6J-EarTag #106",2061504,"C57BL/6J","+/+",139,"Body Weight",30100,"fed","[<Treatment: Normal Chow Diet>]","Cohort 3"
"181","C57BL/6J-EarTag #107",2061504,"C57BL/6J","+/+",139,"Body Weight",27240,"fed","[<Treatment: Normal Chow Diet>]","Cohort 3"
