"","Animal","Cage","Strain","Genotype","Age","Assay","Values","Feeding","Treatment","Cohort","Weight","Week"
"37","C57BL/6J-EarTag #103","2061503","C57BL/6J","+/+",83,"Body Weight",27350,"fed","High Fat Diet","Cohort 3",27.35,2
"38","C57BL/6J-EarTag #104","2061503","C57BL/6J","+/+",83,"Body Weight",27010,"fed","High Fat Diet","Cohort 3",27.01,2
"39","C57BL/6J-EarTag #105","2061503","C57BL/6J","+/+",83,"Body Weight",27030,"fed","High Fat Diet","Cohort 3",27.03,2
"40","C57BL/6J-EarTag #106","2061504","C57BL/6J","+/+",83,"Body Weight",26620,"fed","Normal Chow Diet","Cohort 3",26.62,2
"41","C57BL/6J-EarTag #107","2061504","C57BL/6J","+/+",83,"Body Weight",24100,"fed","Normal Chow Diet","Cohort 3",24.1,2
"42","C57BL/6J-EarTag #108","2061504","C57BL/6J","+/+",83,"Body Weight",25580,"fed","Normal Chow Diet","Cohort 3",25.58,2
"43","C57BL/6J-EarTag #109","2061504","C57BL/6J","+/+",83,"Body Weight",25430,"fed","Normal Chow Diet","Cohort 3",25.43,2
"44","C57BL/6J-EarTag #110","2061504","C57BL/6J","+/+",83,"Body Weight",26500,"fed","Normal Chow Diet","Cohort 3",26.5,2
"45","C57BL/6J-EarTag #111","2061505","C57BL/6J","+/+",83,"Body Weight",28920,"fed","High Fat Diet","Cohort 3",28.92,2
"46","C57BL/6J-EarTag #112","2061505","C57BL/6J","+/+",83,"Body Weight",26670,"fed","High Fat Diet","Cohort 3",26.67,2
"47","C57BL/6J-EarTag #113","2061505","C57BL/6J","+/+",83,"Body Weight",27860,"fed","High Fat Diet","Cohort 3",27.86,2
"48","C57BL/6J-EarTag #114","2061505","C57BL/6J","+/+",83,"Body Weight",29030,"fed","High Fat Diet","Cohort 3",29.03,2
"49","C57BL/6J-EarTag #115","2061506","C57BL/6J","+/+",83,"Body Weight",27420,"fed","High Fat Diet","Cohort 3",27.42,2
"50","C57BL/6J-EarTag #116","2061506","C57BL/6J","+/+",83,"Body Weight",32460,"fed","High Fat Diet","Cohort 3",32.46,2
"51","C57BL/6J-EarTag #117","2061506","C57BL/6J","+/+",83,"Body Weight",23910,"fed","High Fat Diet","Cohort 3",23.91,2
"52","C57BL/6J-EarTag #118","2061506","C57BL/6J","+/+",83,"Body Weight",24080,"fed","High Fat Diet","Cohort 3",24.08,2
"53","C57BL/6J-EarTag #119","2061507","C57BL/6J","+/+",83,"Body Weight",30100,"fed","High Fat Diet","Cohort 3",30.1,2
"54","C57BL/6J-EarTag #120","2061507","C57BL/6J","+/+",83,"Body Weight",26880,"fed","High Fat Diet","Cohort 3",26.88,2
"55","C57BL/6J-EarTag #121","2061507","C57BL/6J","+/+",83,"Body Weight",30620,"fed","High Fat Diet","Cohort 3",30.62,2
"56","C57BL/6J-EarTag #122","2061507","C57BL/6J","+/+",83,"Body Weight",28350,"fed","High Fat Diet","Cohort 3",28.35,2
"57","C57BL/6J-EarTag #123","2061508","C57BL/6J","+/+",83,"Body Weight",23060,"fed","Normal Chow Diet","Cohort 3",23.06,2
"58","C57BL/6J-EarTag #124","2061508","C57BL/6J","+/+",83,"Body Weight",23880,"fed","Normal Chow Diet","Cohort 3",23.88,2
"59","C57BL/6J-EarTag #125","2061508","C57BL/6J","+/+",83,"Body Weight",24730,"fed","Normal Chow Diet","Cohort 3",24.73,2
"60","C57BL/6J-EarTag #126","2061508","C57BL/6J","+/+",83,"Body Weight",23050,"fed","Normal Chow Diet","Cohort 3",23.05,2
"61","C57BL/6J-EarTag #127","2061508","C57BL/6J","+/+",83,"Body Weight",22110,"fed","Normal Chow Diet","Cohort 3",22.11,2
"62","C57BL/6J-EarTag #128","2061509","C57BL/6J","+/+",83,"Body Weight",25520,"fed","Normal Chow Diet","Cohort 3",25.52,2
"63","C57BL/6J-EarTag #129","2061509","C57BL/6J","+/+",83,"Body Weight",26960,"fed","Normal Chow Diet","Cohort 3",26.96,2
"64","C57BL/6J-EarTag #130","2061509","C57BL/6J","+/+",83,"Body Weight",24510,"fed","Normal Chow Diet","Cohort 3",24.51,2
"65","C57BL/6J-EarTag #131","2061509","C57BL/6J","+/+",83,"Body Weight",25960,"fed","Normal Chow Diet","Cohort 3",25.96,2
"66","C57BL/6J-EarTag #132","2061509","C57BL/6J","+/+",83,"Body Weight",27880,"fed","Normal Chow Diet","Cohort 3",27.88,2
"67","C57BL/6J-EarTag #133","2061510","C57BL/6J","+/+",83,"Body Weight",29110,"fed","High Fat Diet","Cohort 3",29.11,2
"68","C57BL/6J-EarTag #134","2061510","C57BL/6J","+/+",83,"Body Weight",30170,"fed","High Fat Diet","Cohort 3",30.17,2
"69","C57BL/6J-EarTag #135","2061510","C57BL/6J","+/+",83,"Body Weight",29560,"fed","High Fat Diet","Cohort 3",29.56,2
"70","C57BL/6J-EarTag #136","2061510","C57BL/6J","+/+",83,"Body Weight",29050,"fed","High Fat Diet","Cohort 3",29.05,2
"71","C57BL/6J-EarTag #102","2061503","C57BL/6J","+/+",97,"Body Weight",25910,"fed","High Fat Diet","Cohort 3",25.91,4
"72","C57BL/6J-EarTag #103","2061503","C57BL/6J","+/+",97,"Body Weight",30080,"fed","High Fat Diet","Cohort 3",30.08,4
"73","C57BL/6J-EarTag #104","2061503","C57BL/6J","+/+",97,"Body Weight",30410,"fed","High Fat Diet","Cohort 3",30.41,4
"74","C57BL/6J-EarTag #105","2061503","C57BL/6J","+/+",97,"Body Weight",30140,"fed","High Fat Diet","Cohort 3",30.14,4
"75","C57BL/6J-EarTag #106","2061504","C57BL/6J","+/+",97,"Body Weight",28330,"fed","Normal Chow Diet","Cohort 3",28.33,4
"76","C57BL/6J-EarTag #107","2061504","C57BL/6J","+/+",97,"Body Weight",25520,"fed","Normal Chow Diet","Cohort 3",25.52,4
"77","C57BL/6J-EarTag #108","2061504","C57BL/6J","+/+",97,"Body Weight",27760,"fed","Normal Chow Diet","Cohort 3",27.76,4
"78","C57BL/6J-EarTag #109","2061504","C57BL/6J","+/+",97,"Body Weight",27020,"fed","Normal Chow Diet","Cohort 3",27.02,4
"79","C57BL/6J-EarTag #110","2061504","C57BL/6J","+/+",97,"Body Weight",27900,"fed","Normal Chow Diet","Cohort 3",27.9,4
"80","C57BL/6J-EarTag #111","2061505","C57BL/6J","+/+",97,"Body Weight",32600,"fed","High Fat Diet","Cohort 3",32.6,4
"81","C57BL/6J-EarTag #112","2061505","C57BL/6J","+/+",97,"Body Weight",31200,"fed","High Fat Diet","Cohort 3",31.2,4
"82","C57BL/6J-EarTag #113","2061505","C57BL/6J","+/+",97,"Body Weight",30220,"fed","High Fat Diet","Cohort 3",30.22,4
"83","C57BL/6J-EarTag #114","2061505","C57BL/6J","+/+",97,"Body Weight",31560,"fed","High Fat Diet","Cohort 3",31.56,4
"84","C57BL/6J-EarTag #115","2061506","C57BL/6J","+/+",97,"Body Weight",30850,"fed","High Fat Diet","Cohort 3",30.85,4
"85","C57BL/6J-EarTag #116","2061506","C57BL/6J","+/+",97,"Body Weight",36310,"fed","High Fat Diet","Cohort 3",36.31,4
"86","C57BL/6J-EarTag #117","2061506","C57BL/6J","+/+",97,"Body Weight",26440,"fed","High Fat Diet","Cohort 3",26.44,4
"87","C57BL/6J-EarTag #118","2061506","C57BL/6J","+/+",97,"Body Weight",26400,"fed","High Fat Diet","Cohort 3",26.4,4
"88","C57BL/6J-EarTag #119","2061507","C57BL/6J","+/+",97,"Body Weight",35190,"fed","High Fat Diet","Cohort 3",35.19,4
"89","C57BL/6J-EarTag #120","2061507","C57BL/6J","+/+",97,"Body Weight",30680,"fed","High Fat Diet","Cohort 3",30.68,4
"90","C57BL/6J-EarTag #121","2061507","C57BL/6J","+/+",97,"Body Weight",35540,"fed","High Fat Diet","Cohort 3",35.54,4
"91","C57BL/6J-EarTag #122","2061507","C57BL/6J","+/+",97,"Body Weight",31450,"fed","High Fat Diet","Cohort 3",31.45,4
"92","C57BL/6J-EarTag #123","2061508","C57BL/6J","+/+",97,"Body Weight",25120,"fed","Normal Chow Diet","Cohort 3",25.12,4
"93","C57BL/6J-EarTag #124","2061508","C57BL/6J","+/+",97,"Body Weight",24760,"fed","Normal Chow Diet","Cohort 3",24.76,4
"94","C57BL/6J-EarTag #125","2061508","C57BL/6J","+/+",97,"Body Weight",25330,"fed","Normal Chow Diet","Cohort 3",25.33,4
"95","C57BL/6J-EarTag #126","2061508","C57BL/6J","+/+",97,"Body Weight",24570,"fed","Normal Chow Diet","Cohort 3",24.57,4
"96","C57BL/6J-EarTag #127","2061508","C57BL/6J","+/+",97,"Body Weight",22850,"fed","Normal Chow Diet","Cohort 3",22.85,4
"97","C57BL/6J-EarTag #128","2061509","C57BL/6J","+/+",97,"Body Weight",27080,"fed","Normal Chow Diet","Cohort 3",27.08,4
"98","C57BL/6J-EarTag #129","2061509","C57BL/6J","+/+",97,"Body Weight",28900,"fed","Normal Chow Diet","Cohort 3",28.9,4
"99","C57BL/6J-EarTag #130","2061509","C57BL/6J","+/+",97,"Body Weight",25840,"fed","Normal Chow Diet","Cohort 3",25.84,4
"100","C57BL/6J-EarTag #131","2061509","C57BL/6J","+/+",97,"Body Weight",26660,"fed","Normal Chow Diet","Cohort 3",26.66,4
"101","C57BL/6J-EarTag #132","2061509","C57BL/6J","+/+",97,"Body Weight",30150,"fed","Normal Chow Diet","Cohort 3",30.15,4
"102","C57BL/6J-EarTag #133","2061510","C57BL/6J","+/+",97,"Body Weight",32220,"fed","High Fat Diet","Cohort 3",32.22,4
"103","C57BL/6J-EarTag #134","2061510","C57BL/6J","+/+",97,"Body Weight",34040,"fed","High Fat Diet","Cohort 3",34.04,4
"104","C57BL/6J-EarTag #135","2061510","C57BL/6J","+/+",97,"Body Weight",33940,"fed","High Fat Diet","Cohort 3",33.94,4
"105","C57BL/6J-EarTag #136","2061510","C57BL/6J","+/+",97,"Body Weight",32710,"fed","High Fat Diet","Cohort 3",32.71,4
"106","C57BL/6J-EarTag #102","2061503","C57BL/6J","+/+",111,"Body Weight",31540,"fed","High Fat Diet","Cohort 3",31.54,6
"107","C57BL/6J-EarTag #103","2061503","C57BL/6J","+/+",111,"Body Weight",31820,"fed","High Fat Diet","Cohort 3",31.82,6
"108","C57BL/6J-EarTag #104","2061503","C57BL/6J","+/+",111,"Body Weight",31490,"fed","High Fat Diet","Cohort 3",31.49,6
"109","C57BL/6J-EarTag #105","2061503","C57BL/6J","+/+",111,"Body Weight",31310,"fed","High Fat Diet","Cohort 3",31.31,6
"110","C57BL/6J-EarTag #106","2061504","C57BL/6J","+/+",111,"Body Weight",28560,"fed","Normal Chow Diet","Cohort 3",28.56,6
"111","C57BL/6J-EarTag #107","2061504","C57BL/6J","+/+",111,"Body Weight",26870,"fed","Normal Chow Diet","Cohort 3",26.87,6
"112","C57BL/6J-EarTag #108","2061504","C57BL/6J","+/+",111,"Body Weight",30100,"fed","Normal Chow Diet","Cohort 3",30.1,6
"113","C57BL/6J-EarTag #109","2061504","C57BL/6J","+/+",111,"Body Weight",28290,"fed","Normal Chow Diet","Cohort 3",28.29,6
"114","C57BL/6J-EarTag #110","2061504","C57BL/6J","+/+",111,"Body Weight",28670,"fed","Normal Chow Diet","Cohort 3",28.67,6
"115","C57BL/6J-EarTag #111","2061505","C57BL/6J","+/+",111,"Body Weight",34300,"fed","High Fat Diet","Cohort 3",34.3,6
"116","C57BL/6J-EarTag #112","2061505","C57BL/6J","+/+",111,"Body Weight",34530,"fed","High Fat Diet","Cohort 3",34.53,6
"117","C57BL/6J-EarTag #113","2061505","C57BL/6J","+/+",111,"Body Weight",33500,"fed","High Fat Diet","Cohort 3",33.5,6
"118","C57BL/6J-EarTag #114","2061505","C57BL/6J","+/+",111,"Body Weight",34890,"fed","High Fat Diet","Cohort 3",34.89,6
"119","C57BL/6J-EarTag #115","2061506","C57BL/6J","+/+",111,"Body Weight",33010,"fed","High Fat Diet","Cohort 3",33.01,6
"120","C57BL/6J-EarTag #116","2061506","C57BL/6J","+/+",111,"Body Weight",41070,"fed","High Fat Diet","Cohort 3",41.07,6
"121","C57BL/6J-EarTag #117","2061506","C57BL/6J","+/+",111,"Body Weight",29060,"fed","High Fat Diet","Cohort 3",29.06,6
"122","C57BL/6J-EarTag #118","2061506","C57BL/6J","+/+",111,"Body Weight",28100,"fed","High Fat Diet","Cohort 3",28.1,6
"123","C57BL/6J-EarTag #119","2061507","C57BL/6J","+/+",111,"Body Weight",37340,"fed","High Fat Diet","Cohort 3",37.34,6
"124","C57BL/6J-EarTag #120","2061507","C57BL/6J","+/+",111,"Body Weight",30690,"fed","High Fat Diet","Cohort 3",30.69,6
"125","C57BL/6J-EarTag #121","2061507","C57BL/6J","+/+",111,"Body Weight",37620,"fed","High Fat Diet","Cohort 3",37.62,6
"126","C57BL/6J-EarTag #122","2061507","C57BL/6J","+/+",111,"Body Weight",32820,"fed","High Fat Diet","Cohort 3",32.82,6
"127","C57BL/6J-EarTag #123","2061508","C57BL/6J","+/+",111,"Body Weight",26210,"fed","Normal Chow Diet","Cohort 3",26.21,6
"128","C57BL/6J-EarTag #124","2061508","C57BL/6J","+/+",111,"Body Weight",24950,"fed","Normal Chow Diet","Cohort 3",24.95,6
"129","C57BL/6J-EarTag #125","2061508","C57BL/6J","+/+",111,"Body Weight",25580,"fed","Normal Chow Diet","Cohort 3",25.58,6
"130","C57BL/6J-EarTag #126","2061508","C57BL/6J","+/+",111,"Body Weight",24960,"fed","Normal Chow Diet","Cohort 3",24.96,6
"131","C57BL/6J-EarTag #127","2061508","C57BL/6J","+/+",111,"Body Weight",23460,"fed","Normal Chow Diet","Cohort 3",23.46,6
"132","C57BL/6J-EarTag #128","2061509","C57BL/6J","+/+",111,"Body Weight",27810,"fed","Normal Chow Diet","Cohort 3",27.81,6
"133","C57BL/6J-EarTag #129","2061509","C57BL/6J","+/+",111,"Body Weight",28820,"fed","Normal Chow Diet","Cohort 3",28.82,6
"134","C57BL/6J-EarTag #130","2061509","C57BL/6J","+/+",111,"Body Weight",25190,"fed","Normal Chow Diet","Cohort 3",25.19,6
"135","C57BL/6J-EarTag #131","2061509","C57BL/6J","+/+",111,"Body Weight",27860,"fed","Normal Chow Diet","Cohort 3",27.86,6
"136","C57BL/6J-EarTag #132","2061509","C57BL/6J","+/+",111,"Body Weight",30330,"fed","Normal Chow Diet","Cohort 3",30.33,6
"137","C57BL/6J-EarTag #133","2061510","C57BL/6J","+/+",111,"Body Weight",34790,"fed","High Fat Diet","Cohort 3",34.79,6
"138","C57BL/6J-EarTag #134","2061510","C57BL/6J","+/+",111,"Body Weight",35690,"fed","High Fat Diet","Cohort 3",35.69,6
"139","C57BL/6J-EarTag #135","2061510","C57BL/6J","+/+",111,"Body Weight",36600,"fed","High Fat Diet","Cohort 3",36.6,6
"140","C57BL/6J-EarTag #136","2061510","C57BL/6J","+/+",111,"Body Weight",35480,"fed","High Fat Diet","Cohort 3",35.48,6
"141","C57BL/6J-EarTag #102","2061503","C57BL/6J","+/+",125,"Body Weight",31950,"fed","High Fat Diet","Cohort 3",31.95,8
"142","C57BL/6J-EarTag #103","2061503","C57BL/6J","+/+",125,"Body Weight",31400,"fed","High Fat Diet","Cohort 3",31.4,8
"143","C57BL/6J-EarTag #104","2061503","C57BL/6J","+/+",125,"Body Weight",33380,"fed","High Fat Diet","Cohort 3",33.38,8
"144","C57BL/6J-EarTag #105","2061503","C57BL/6J","+/+",125,"Body Weight",31650,"fed","High Fat Diet","Cohort 3",31.65,8
"145","C57BL/6J-EarTag #106","2061504","C57BL/6J","+/+",125,"Body Weight",30120,"fed","Normal Chow Diet","Cohort 3",30.12,8
"146","C57BL/6J-EarTag #107","2061504","C57BL/6J","+/+",125,"Body Weight",27220,"fed","Normal Chow Diet","Cohort 3",27.22,8
"147","C57BL/6J-EarTag #108","2061504","C57BL/6J","+/+",125,"Body Weight",30270,"fed","Normal Chow Diet","Cohort 3",30.27,8
"148","C57BL/6J-EarTag #109","2061504","C57BL/6J","+/+",125,"Body Weight",29050,"fed","Normal Chow Diet","Cohort 3",29.05,8
"149","C57BL/6J-EarTag #110","2061504","C57BL/6J","+/+",125,"Body Weight",30270,"fed","Normal Chow Diet","Cohort 3",30.27,8
"150","C57BL/6J-EarTag #111","2061505","C57BL/6J","+/+",125,"Body Weight",38230,"fed","High Fat Diet","Cohort 3",38.23,8
"151","C57BL/6J-EarTag #112","2061505","C57BL/6J","+/+",125,"Body Weight",37620,"fed","High Fat Diet","Cohort 3",37.62,8
"152","C57BL/6J-EarTag #113","2061505","C57BL/6J","+/+",125,"Body Weight",35880,"fed","High Fat Diet","Cohort 3",35.88,8
"153","C57BL/6J-EarTag #114","2061505","C57BL/6J","+/+",125,"Body Weight",37430,"fed","High Fat Diet","Cohort 3",37.43,8
"154","C57BL/6J-EarTag #115","2061506","C57BL/6J","+/+",125,"Body Weight",35490,"fed","High Fat Diet","Cohort 3",35.49,8
"155","C57BL/6J-EarTag #116","2061506","C57BL/6J","+/+",125,"Body Weight",45470,"fed","High Fat Diet","Cohort 3",45.47,8
"156","C57BL/6J-EarTag #117","2061506","C57BL/6J","+/+",125,"Body Weight",30090,"fed","High Fat Diet","Cohort 3",30.09,8
"157","C57BL/6J-EarTag #118","2061506","C57BL/6J","+/+",125,"Body Weight",30940,"fed","High Fat Diet","Cohort 3",30.94,8
"158","C57BL/6J-EarTag #119","2061507","C57BL/6J","+/+",125,"Body Weight",39520,"fed","High Fat Diet","Cohort 3",39.52,8
"159","C57BL/6J-EarTag #120","2061507","C57BL/6J","+/+",125,"Body Weight",32610,"fed","High Fat Diet","Cohort 3",32.61,8
"160","C57BL/6J-EarTag #121","2061507","C57BL/6J","+/+",125,"Body Weight",40440,"fed","High Fat Diet","Cohort 3",40.44,8
"161","C57BL/6J-EarTag #122","2061507","C57BL/6J","+/+",125,"Body Weight",33470,"fed","High Fat Diet","Cohort 3",33.47,8
"162","C57BL/6J-EarTag #123","2061508","C57BL/6J","+/+",125,"Body Weight",26420,"fed","Normal Chow Diet","Cohort 3",26.42,8
"163","C57BL/6J-EarTag #124","2061508","C57BL/6J","+/+",125,"Body Weight",27020,"fed","Normal Chow Diet","Cohort 3",27.02,8
"164","C57BL/6J-EarTag #125","2061508","C57BL/6J","+/+",125,"Body Weight",26340,"fed","Normal Chow Diet","Cohort 3",26.34,8
"165","C57BL/6J-EarTag #126","2061508","C57BL/6J","+/+",125,"Body Weight",25950,"fed","Normal Chow Diet","Cohort 3",25.95,8
"166","C57BL/6J-EarTag #127","2061508","C57BL/6J","+/+",125,"Body Weight",24520,"fed","Normal Chow Diet","Cohort 3",24.52,8
"167","C57BL/6J-EarTag #128","2061509","C57BL/6J","+/+",125,"Body Weight",29280,"fed","Normal Chow Diet","Cohort 3",29.28,8
"168","C57BL/6J-EarTag #129","2061509","C57BL/6J","+/+",125,"Body Weight",29890,"fed","Normal Chow Diet","Cohort 3",29.89,8
"169","C57BL/6J-EarTag #130","2061509","C57BL/6J","+/+",125,"Body Weight",26080,"fed","Normal Chow Diet","Cohort 3",26.08,8
"170","C57BL/6J-EarTag #131","2061509","C57BL/6J","+/+",125,"Body Weight",28320,"fed","Normal Chow Diet","Cohort 3",28.32,8
"171","C57BL/6J-EarTag #132","2061509","C57BL/6J","+/+",125,"Body Weight",31130,"fed","Normal Chow Diet","Cohort 3",31.13,8
"172","C57BL/6J-EarTag #133","2061510","C57BL/6J","+/+",125,"Body Weight",37490,"fed","High Fat Diet","Cohort 3",37.49,8
"173","C57BL/6J-EarTag #134","2061510","C57BL/6J","+/+",125,"Body Weight",37660,"fed","High Fat Diet","Cohort 3",37.66,8
"174","C57BL/6J-EarTag #135","2061510","C57BL/6J","+/+",125,"Body Weight",39530,"fed","High Fat Diet","Cohort 3",39.53,8
"175","C57BL/6J-EarTag #136","2061510","C57BL/6J","+/+",125,"Body Weight",38460,"fed","High Fat Diet","Cohort 3",38.46,8
"176","C57BL/6J-EarTag #102","2061503","C57BL/6J","+/+",139,"Body Weight",33220,"fed","High Fat Diet","Cohort 3",33.22,10
"177","C57BL/6J-EarTag #103","2061503","C57BL/6J","+/+",139,"Body Weight",33020,"fed","High Fat Diet","Cohort 3",33.02,10
"178","C57BL/6J-EarTag #104","2061503","C57BL/6J","+/+",139,"Body Weight",34890,"fed","High Fat Diet","Cohort 3",34.89,10
"179","C57BL/6J-EarTag #105","2061503","C57BL/6J","+/+",139,"Body Weight",32170,"fed","High Fat Diet","Cohort 3",32.17,10
"180","C57BL/6J-EarTag #106","2061504","C57BL/6J","+/+",139,"Body Weight",30100,"fed","Normal Chow Diet","Cohort 3",30.1,10
"181","C57BL/6J-EarTag #107","2061504","C57BL/6J","+/+",139,"Body Weight",27240,"fed","Normal Chow Diet","Cohort 3",27.24,10
"182","C57BL/6J-EarTag #108","2061504","C57BL/6J","+/+",139,"Body Weight",30470,"fed","Normal Chow Diet","Cohort 3",30.47,10
"183","C57BL/6J-EarTag #109","2061504","C57BL/6J","+/+",139,"Body Weight",29170,"fed","Normal Chow Diet","Cohort 3",29.17,10
"184","C57BL/6J-EarTag #110","2061504","C57BL/6J","+/+",139,"Body Weight",29550,"fed","Normal Chow Diet","Cohort 3",29.55,10
"185","C57BL/6J-EarTag #111","2061505","C57BL/6J","+/+",139,"Body Weight",40270,"fed","High Fat Diet","Cohort 3",40.27,10
"186","C57BL/6J-EarTag #112","2061505","C57BL/6J","+/+",139,"Body Weight",41020,"fed","High Fat Diet","Cohort 3",41.02,10
"187","C57BL/6J-EarTag #113","2061505","C57BL/6J","+/+",139,"Body Weight",38610,"fed","High Fat Diet","Cohort 3",38.61,10
"188","C57BL/6J-EarTag #114","2061505","C57BL/6J","+/+",139,"Body Weight",40700,"fed","High Fat Diet","Cohort 3",40.7,10
"189","C57BL/6J-EarTag #115","2061506","C57BL/6J","+/+",139,"Body Weight",39020,"fed","High Fat Diet","Cohort 3",39.02,10
"190","C57BL/6J-EarTag #116","2061506","C57BL/6J","+/+",139,"Body Weight",47830,"fed","High Fat Diet","Cohort 3",47.83,10
"191","C57BL/6J-EarTag #117","2061506","C57BL/6J","+/+",139,"Body Weight",29810,"fed","High Fat Diet","Cohort 3",29.81,10
"192","C57BL/6J-EarTag #118","2061506","C57BL/6J","+/+",139,"Body Weight",32840,"fed","High Fat Diet","Cohort 3",32.84,10
"193","C57BL/6J-EarTag #119","2061507","C57BL/6J","+/+",139,"Body Weight",42530,"fed","High Fat Diet","Cohort 3",42.53,10
