"","gene_biotype","external_gene_name","ensembl_gene_id"
"105","miRNA","Mir335","ENSMUSG00000065501"
"106","miRNA","Gm24396","ENSMUSG00000080555"
"107","miRNA","Mir148a","ENSMUSG00000065505"
"108","processed_pseudogene","Rps12-ps22","ENSMUSG00000095277"
"109","unprocessed_pseudogene","Gm10444","ENSMUSG00000072950"
"110","rRNA","Gm27959","ENSMUSG00000098877"
"111","protein_coding","8430408G22Rik","ENSMUSG00000048489"
"112","protein_coding","Gm17469","ENSMUSG00000094252"
"113","protein_coding","5031410I06Rik","ENSMUSG00000051940"
"114","miRNA","Gm25063","ENSMUSG00000077858"
"115","snRNA","Gm26011","ENSMUSG00000077598"
"116","protein_coding","Gm21616","ENSMUSG00000094147"
"117","protein_coding","Reg3b","ENSMUSG00000071356"
"118","snRNA","Gm22287","ENSMUSG00000094896"
"119","protein_coding","Gprin3","ENSMUSG00000045441"
"120","misc_RNA","Gm27520","ENSMUSG00000098262"
"121","processed_pseudogene","Gm14639","ENSMUSG00000082253"
"122","miRNA","Mir448","ENSMUSG00000065450"
"123","protein_coding","Tmem72","ENSMUSG00000048108"
"124","protein_coding","D5Ertd577e","ENSMUSG00000070677"
"125","protein_coding","Ept1","ENSMUSG00000075703"
"126","miRNA","Mir7673","ENSMUSG00000099072"
"127","protein_coding","4930597O21Rik","ENSMUSG00000053442"
"128","protein_coding","Gm10220","ENSMUSG00000067698"
"129","protein_coding","Clec9a","ENSMUSG00000046080"
"130","protein_coding","Ids","ENSMUSG00000035847"
"131","protein_coding","Nup205","ENSMUSG00000038759"
"132","protein_coding","Plp1","ENSMUSG00000031425"
"133","protein_coding","Phf6","ENSMUSG00000025626"
"134","protein_coding","Ace2","ENSMUSG00000015405"
"135","protein_coding","Ccdc178","ENSMUSG00000024306"
"136","protein_coding","Usp14","ENSMUSG00000047879"
"137","lincRNA","Gm13853","ENSMUSG00000087441"
"138","lincRNA","5730422E09Rik","ENSMUSG00000097191"
"139","protein_coding","Epha5","ENSMUSG00000029245"
"140","snRNA","Gm24535","ENSMUSG00000065074"
"141","miRNA","Gm26338","ENSMUSG00000076327"
"142","protein_coding","Spin2-ps6","ENSMUSG00000094115"
"143","snRNA","Gm22666","ENSMUSG00000089342"
"144","processed_pseudogene","Gm27178","ENSMUSG00000098438"
"145","processed_pseudogene","Gm20693","ENSMUSG00000093614"
"146","processed_pseudogene","Gm7536","ENSMUSG00000057036"
"147","processed_pseudogene","Gm14172","ENSMUSG00000083498"
"148","processed_pseudogene","Gm2979","ENSMUSG00000102741"
"149","miRNA","Mir1955","ENSMUSG00000088639"
"150","miRNA","Gm27903","ENSMUSG00000093223"
"151","antisense","Sardhos","ENSMUSG00000091192"
"152","processed_pseudogene","Gm34379","ENSMUSG00000103905"
"153","antisense","AA387200","ENSMUSG00000085946"
"154","protein_coding","Gm17482","ENSMUSG00000092004"
"155","protein_coding","Bcl2l13","ENSMUSG00000009112"
"156","antisense","9330154K18Rik","ENSMUSG00000047807"
"157","protein_coding","Cmtm8","ENSMUSG00000041012"
"158","protein_coding","4930563M21Rik","ENSMUSG00000050702"
"159","miRNA","Gm23415","ENSMUSG00000093260"
"160","miRNA","Mir186","ENSMUSG00000065431"
"161","snoRNA","Gm23315","ENSMUSG00000088628"
"162","snoRNA","Gm24493","ENSMUSG00000065739"
"163","miRNA","Gm28023","ENSMUSG00000098901"
"164","antisense","Gm28287","ENSMUSG00000099971"
"165","unprocessed_pseudogene","Gm20526","ENSMUSG00000092435"
"166","TEC","Gm37396","ENSMUSG00000104205"
"167","TEC","Gm37399","ENSMUSG00000104200"
"168","protein_coding","Olfr50","ENSMUSG00000094949"
"169","lincRNA","RP23-404J7.10","ENSMUSG00000106429"
"170","processed_pseudogene","Gm19430","ENSMUSG00000103716"
"171","snoRNA","Gm22362","ENSMUSG00000065036"
"172","protein_coding","Kcnk9","ENSMUSG00000036760"
"173","misc_RNA","Gm27403","ENSMUSG00000098795"
"174","unprocessed_pseudogene","Gm9574","ENSMUSG00000073980"
"175","miRNA","BX813336.1","ENSMUSG00000105133"
"176","antisense","Gm16133","ENSMUSG00000089854"
"177","processed_pseudogene","Gm2474","ENSMUSG00000103856"
"178","snoRNA","Gm22266","ENSMUSG00000077199"
"179","rRNA","Gm24476","ENSMUSG00000088062"
"180","lincRNA","5730460C07Rik","ENSMUSG00000062046"
"181","protein_coding","Zfp358","ENSMUSG00000047264"
"182","snRNA","Gm22321","ENSMUSG00000087777"
"183","transcribed_processed_pseudogene","Gm8615","ENSMUSG00000024437"
"184","miRNA","Gm24115","ENSMUSG00000076987"
"185","miRNA","Mir7014","ENSMUSG00000098737"
"186","protein_coding","Olfr1318","ENSMUSG00000049758"
"187","snoRNA","Gm26494","ENSMUSG00000065088"
"188","protein_coding","Olfr1411","ENSMUSG00000062497"
"189","snoRNA","Gm24637","ENSMUSG00000089299"
"190","TEC","Gm37478","ENSMUSG00000102801"
"191","sense_intronic","Gm37062","ENSMUSG00000103804"
"192","processed_pseudogene","Gm6659","ENSMUSG00000092289"
"193","antisense","4833422C13Rik","ENSMUSG00000074782"
"194","miRNA","Gm26386","ENSMUSG00000096522"
"195","protein_coding","Gm8104","ENSMUSG00000096446"
"196","processed_pseudogene","Gm37670","ENSMUSG00000103548"
"197","snRNA","Gm22713","ENSMUSG00000080545"
"198","miRNA","Mir547","ENSMUSG00000076005"
"199","snRNA","Gm23977","ENSMUSG00000096482"
"200","protein_coding","Gm8888","ENSMUSG00000095638"
"201","miRNA","Gm24092","ENSMUSG00000093791"
"202","protein_coding","Gm7361","ENSMUSG00000059645"
"203","TR_J_gene","Traj49","ENSMUSG00000076882"
"204","processed_pseudogene","Gm37732","ENSMUSG00000103226"
"205","miRNA","Mir138-1","ENSMUSG00000065414"
"206","processed_pseudogene","Gm13436","ENSMUSG00000083716"
"207","protein_coding","Cdnf","ENSMUSG00000039496"
"208","processed_pseudogene","Gm16134","ENSMUSG00000089868"
"209","snoRNA","Gm23786","ENSMUSG00000080394"
"210","protein_coding","Gm9821","ENSMUSG00000095332"
"211","snRNA","Gm24501","ENSMUSG00000089077"
"212","protein_coding","Gm10217","ENSMUSG00000067627"
"213","snoRNA","Gm26289","ENSMUSG00000077357"
"214","protein_coding","Cpb2","ENSMUSG00000021999"
"215","lincRNA","1700018B24Rik","ENSMUSG00000037910"
"216","miRNA","Gm23562","ENSMUSG00000092643"
"217","processed_pseudogene","Gm8009","ENSMUSG00000103760"
"218","miRNA","Mir3472","ENSMUSG00000092917"
"219","protein_coding","Gm10188","ENSMUSG00000066936"
"220","protein_coding","Htr1b","ENSMUSG00000049511"
"221","protein_coding","Olfr117","ENSMUSG00000095286"
"222","snRNA","Gm23464","ENSMUSG00000065079"
"223","miRNA","Mir669d-2","ENSMUSG00000080504"
"224","processed_transcript","4930406D18Rik","ENSMUSG00000086923"
"225","misc_RNA","Gm27695","ENSMUSG00000098969"
"226","protein_coding","Olfr211","ENSMUSG00000053391"
"227","protein_coding","Scrt2","ENSMUSG00000060257"
"228","protein_coding","Gm3409","ENSMUSG00000096664"
"229","miRNA","AC120787.3","ENSMUSG00000105988"
"230","lincRNA","Gm13708","ENSMUSG00000086069"
"231","snoRNA","Gm26145","ENSMUSG00000077664"
"232","lincRNA","1110015O18Rik","ENSMUSG00000098659"
"233","lincRNA","Gm26685","ENSMUSG00000097281"
"234","processed_pseudogene","Gm38027","ENSMUSG00000103997"
"235","miRNA","Gm26209","ENSMUSG00000077040"
"236","snoRNA","Gm23187","ENSMUSG00000093645"
"237","transcribed_unprocessed_pseudogene","Gm10499","ENSMUSG00000073403"
"238","protein_coding","Olfr1259","ENSMUSG00000068806"
"239","snoRNA","Gm26344","ENSMUSG00000077741"
"240","misc_RNA","Gm27543","ENSMUSG00000099248"
"241","processed_pseudogene","Rps6-ps1","ENSMUSG00000063875"
"242","protein_coding","Tmem167b","ENSMUSG00000068732"
"243","protein_coding","Olfr213","ENSMUSG00000081649"
"244","processed_pseudogene","RP24-362M8.2","ENSMUSG00000105786"
"245","miRNA","Mir1981","ENSMUSG00000088559"
"246","protein_coding","Kbtbd7","ENSMUSG00000043881"
"247","protein_coding","Otulin","ENSMUSG00000046034"
"248","protein_coding","Gm21002","ENSMUSG00000094362"
"249","miRNA","Mir98","ENSMUSG00000065536"
"250","lincRNA","RP23-335A19.3","ENSMUSG00000106639"
"251","snRNA","Gm23054","ENSMUSG00000064738"
"252","protein_coding","Olfr1410","ENSMUSG00000063583"
"253","snoRNA","Gm23317","ENSMUSG00000088624"
"254","antisense","Asb17os","ENSMUSG00000086438"
"255","snRNA","Gm25720","ENSMUSG00000088128"
"256","protein_coding","Rag2","ENSMUSG00000032864"
"257","protein_coding","Zhx2","ENSMUSG00000071757"
"258","snoRNA","Gm25336","ENSMUSG00000088669"
"259","protein_coding","Hist1h2ab","ENSMUSG00000061615"
"260","TEC","D630023O14Rik","ENSMUSG00000102389"
"261","protein_coding","Hmgcs1","ENSMUSG00000093930"
"262","processed_pseudogene","Gm13186","ENSMUSG00000081278"
"263","miRNA","BX813306.1","ENSMUSG00000104666"
"264","protein_coding","Gm3269","ENSMUSG00000091494"
"265","processed_pseudogene","Gm37616","ENSMUSG00000103461"
"266","protein_coding","E130311K13Rik","ENSMUSG00000048581"
"267","misc_RNA","Gm27330","ENSMUSG00000098249"
"268","unprocessed_pseudogene","Gm17782","ENSMUSG00000092366"
"269","snoRNA","Gm22206","ENSMUSG00000089237"
"270","miRNA","Mir2861","ENSMUSG00000093280"
"271","processed_pseudogene","Gm5805","ENSMUSG00000061848"
"272","lincRNA","Gm37068","ENSMUSG00000104417"
"273","protein_coding","Prss33","ENSMUSG00000049620"
"274","TEC","Gm36948","ENSMUSG00000103445"
"275","miRNA","mmu-mir-6384","ENSMUSG00000105738"
"276","TR_J_gene","Traj48","ENSMUSG00000076883"
"277","snRNA","Gm22360","ENSMUSG00000095955"
"278","protein_coding","Cspg4","ENSMUSG00000032911"
"279","miRNA","Mir466l","ENSMUSG00000078060"
"280","snRNA","Gm25681","ENSMUSG00000065872"
"281","processed_pseudogene","Gm6140","ENSMUSG00000104141"
"282","processed_pseudogene","Gm9763","ENSMUSG00000037438"
"283","processed_pseudogene","Gm13182","ENSMUSG00000082580"
"284","protein_coding","Cd3d","ENSMUSG00000032094"
"285","lincRNA","Gm37184","ENSMUSG00000102761"
"286","snRNA","Gm22294","ENSMUSG00000065242"
"287","snoRNA","Gm24791","ENSMUSG00000077472"
"288","protein_coding","2310050C09Rik","ENSMUSG00000090314"
"289","TEC","RP23-128G10.7","ENSMUSG00000105810"
"290","lincRNA","Gm28415","ENSMUSG00000101714"
"291","snoRNA","Gm24539","ENSMUSG00000093874"
"292","lincRNA","4930539M17Rik","ENSMUSG00000103116"
"293","snoRNA","Gm24138","ENSMUSG00000088197"
"294","snoRNA","Gm23220","ENSMUSG00000088740"
"295","snRNA","Gm22746","ENSMUSG00000064428"
"296","protein_coding","Adgre1","ENSMUSG00000004730"
"297","protein_coding","Flg","ENSMUSG00000103750"
"298","processed_pseudogene","Gm13181","ENSMUSG00000081070"
"299","rRNA","Gm27648","ENSMUSG00000098368"
"300","snRNA","Gm22169","ENSMUSG00000096639"
"301","unprocessed_pseudogene","Gm28114","ENSMUSG00000100375"
"302","miRNA","Mir1983","ENSMUSG00000088148"
"303","snRNA","Gm24204","ENSMUSG00000064884"
"304","protein_coding","Gm3286","ENSMUSG00000079423"
"305","misc_RNA","Gm27676","ENSMUSG00000098654"
"306","TEC","RP24-295P14.2","ENSMUSG00000105243"
"307","TEC","Gm37056","ENSMUSG00000102753"
"308","lincRNA","RP23-307D8.8","ENSMUSG00000106148"
"309","miRNA","mmu-mir-465d","ENSMUSG00000106642"
"310","lincRNA","Gm17308","ENSMUSG00000096922"
"311","misc_RNA","Gm25293","ENSMUSG00000084741"
"312","miRNA","Gm25347","ENSMUSG00000080676"
"313","miRNA","Gm25250","ENSMUSG00000093211"
"314","protein_coding","Krtap19-9b","ENSMUSG00000057174"
"315","snRNA","Gm24390","ENSMUSG00000095149"
"316","protein_coding","Rpp25","ENSMUSG00000062309"
"317","protein_coding","Kcmf1","ENSMUSG00000055239"
"318","protein_coding","Hcn1","ENSMUSG00000021730"
"319","lincRNA","Gm37853","ENSMUSG00000102897"
"320","antisense","Gm13185","ENSMUSG00000085205"
"321","protein_coding","Plat","ENSMUSG00000031538"
"322","rRNA","n-R5s202","ENSMUSG00000077705"
"323","miRNA","Gm27910","ENSMUSG00000098585"
"324","lincRNA","1110002O04Rik","ENSMUSG00000102531"
"325","protein_coding","Myl9","ENSMUSG00000067818"
"326","miRNA","Gm24155","ENSMUSG00000093000"
"327","TEC","RP24-295P14.1","ENSMUSG00000104749"
"328","snoRNA","Gm23129","ENSMUSG00000077447"
"329","protein_coding","Gm5447","ENSMUSG00000056257"
"330","misc_RNA","Gm23583","ENSMUSG00000089158"
"331","rRNA","n-R5s205","ENSMUSG00000065083"
"332","protein_coding","Armc4","ENSMUSG00000061802"
"333","protein_coding","Lce3a","ENSMUSG00000054325"
"334","snRNA","Gm26099","ENSMUSG00000087873"
"335","snoRNA","Gm23273","ENSMUSG00000077246"
"336","processed_pseudogene","Gm9442","ENSMUSG00000104241"
"337","protein_coding","Pom121l2","ENSMUSG00000016982"
"338","lincRNA","4930584F24Rik","ENSMUSG00000029044"
"339","protein_coding","Gm3415","ENSMUSG00000095557"
"340","miRNA","Gm25240","ENSMUSG00000092657"
"341","miRNA","Gm23654","ENSMUSG00000080408"
"342","lincRNA","2410017I17Rik","ENSMUSG00000038311"
"343","protein_coding","Vmn2r84","ENSMUSG00000070601"
"344","processed_pseudogene","Gm13183","ENSMUSG00000080703"
"345","miRNA","mmu-mir-669a-4","ENSMUSG00000104652"
"346","miRNA","Gm22913","ENSMUSG00000094523"
"347","protein_coding","Flg","ENSMUSG00000103335"
"348","lincRNA","Gm37754","ENSMUSG00000103383"
"349","miRNA","Gm27428","ENSMUSG00000098455"
"350","protein_coding","Gm17611","ENSMUSG00000090497"
"351","unprocessed_pseudogene","Gm3142","ENSMUSG00000102028"
"352","protein_coding","Olfr1260","ENSMUSG00000042894"
"353","miRNA","mmu-mir-669a-4","ENSMUSG00000105783"
"354","miRNA","Mir7684","ENSMUSG00000098677"
"355","snoRNA","Gm24984","ENSMUSG00000077642"
"356","protein_coding","Scamp5","ENSMUSG00000040722"
"357","protein_coding","Zfp947","ENSMUSG00000063383"
"358","protein_coding","Speer1","ENSMUSG00000095829"
"359","protein_coding","Gins4","ENSMUSG00000031546"
"360","protein_coding","Plcd1","ENSMUSG00000010660"
"361","protein_coding","Atad2","ENSMUSG00000022360"
"362","protein_coding","Rcan1","ENSMUSG00000022951"
"363","protein_coding","Mical3","ENSMUSG00000003178"
"364","protein_coding","Cyp24a1","ENSMUSG00000038567"
"365","protein_coding","Rnf8","ENSMUSG00000090083"
"366","protein_coding","Bhlhb9","ENSMUSG00000072964"
"367","protein_coding","Enox1","ENSMUSG00000022012"
"368","protein_coding","Vcam1","ENSMUSG00000027962"
"369","protein_coding","Mns1","ENSMUSG00000032221"
"370","protein_coding","Nup62cl","ENSMUSG00000072944"
"371","miRNA","mmu-mir-1843b","ENSMUSG00000105399"
"372","processed_pseudogene","Gm38008","ENSMUSG00000103819"
"373","protein_coding","Tbc1d5","ENSMUSG00000023923"
"374","protein_coding","Ret","ENSMUSG00000030110"
"375","protein_coding","Tmem212","ENSMUSG00000043164"
"376","protein_coding","Asb17","ENSMUSG00000038997"
"377","protein_coding","Zkscan5","ENSMUSG00000055991"
"378","protein_coding","1700016H13Rik","ENSMUSG00000029320"
"379","protein_coding","Sardh","ENSMUSG00000009614"
"380","protein_coding","B230118H07Rik","ENSMUSG00000027165"
"381","protein_coding","Tbcel","ENSMUSG00000037287"
"382","protein_coding","Wipf1","ENSMUSG00000075284"
"383","protein_coding","Wdr75","ENSMUSG00000025995"
"384","protein_coding","Mfap5","ENSMUSG00000030116"
"385","protein_coding","Prkci","ENSMUSG00000037643"
"386","protein_coding","Fermt2","ENSMUSG00000037712"
"387","protein_coding","Bnip3l","ENSMUSG00000022051"
"388","protein_coding","Slc17a9","ENSMUSG00000023393"
"389","protein_coding","Tspan15","ENSMUSG00000037031"
"390","protein_coding","Ephb3","ENSMUSG00000005958"
"391","protein_coding","Bivm","ENSMUSG00000041684"
"392","protein_coding","Hint3","ENSMUSG00000019791"
"393","protein_coding","Rev1","ENSMUSG00000026082"
"394","protein_coding","Vps35","ENSMUSG00000031696"
"395","protein_coding","Optc","ENSMUSG00000010311"
"396","protein_coding","Zc3hav1","ENSMUSG00000029826"
"397","transcribed_unprocessed_pseudogene","3110053B16Rik","ENSMUSG00000085642"
"398","protein_coding","Dpp10","ENSMUSG00000036815"
"399","miRNA","Mir679","ENSMUSG00000076145"
"400","protein_coding","Slc18a1","ENSMUSG00000036330"
"401","protein_coding","Plxnb1","ENSMUSG00000053646"
"402","protein_coding","Cfap126","ENSMUSG00000026649"
"403","protein_coding","Fcrl5","ENSMUSG00000048031"
"404","misc_RNA","Gm22261","ENSMUSG00000089316"
"405","miRNA","Gm27760","ENSMUSG00000098565"
"406","miRNA","Mir8114","ENSMUSG00000099227"
"407","miRNA","Gm27839","ENSMUSG00000098899"
"408","snoRNA","Gm24728","ENSMUSG00000088851"
"409","snRNA","Gm26129","ENSMUSG00000064653"
"410","snRNA","Gm22945","ENSMUSG00000089182"
"411","miRNA","Mir8099-1","ENSMUSG00000098931"
"412","snRNA","Gm25652","ENSMUSG00000065714"
"413","miRNA","Mir6339","ENSMUSG00000098347"
"414","protein_coding","Igsf1","ENSMUSG00000031111"
"415","protein_coding","Hnrnpd","ENSMUSG00000000568"
"416","snRNA","Gm25322","ENSMUSG00000084505"
"417","processed_pseudogene","Gm13240","ENSMUSG00000096366"
"418","lincRNA","Gm11795","ENSMUSG00000085630"
"419","unprocessed_pseudogene","Gm28859","ENSMUSG00000100353"
"420","processed_pseudogene","Gm12991","ENSMUSG00000084032"
"421","lincRNA","4930556G01Rik","ENSMUSG00000085522"
"422","processed_pseudogene","Gm12803","ENSMUSG00000082771"
"423","lincRNA","Gm29557","ENSMUSG00000100424"
"424","processed_pseudogene","Gm5601","ENSMUSG00000100153"
"425","protein_coding","Rasgrp1","ENSMUSG00000027347"
"426","processed_pseudogene","Tmem167-ps1","ENSMUSG00000100468"
"427","protein_coding","Nek1","ENSMUSG00000031644"
"428","unprocessed_pseudogene","Gm3104","ENSMUSG00000091292"
"429","protein_coding","Slc4a4","ENSMUSG00000060961"
"430","protein_coding","Acot3","ENSMUSG00000021228"
"431","unprocessed_pseudogene","Gm29523","ENSMUSG00000100731"
"432","processed_pseudogene","Gm11490","ENSMUSG00000080976"
"433","protein_coding","Kcns3","ENSMUSG00000043673"
"434","lincRNA","Gm20978","ENSMUSG00000101426"
"435","processed_pseudogene","Gm11689","ENSMUSG00000083769"
"436","snRNA","Gm23405","ENSMUSG00000064476"
"437","snoRNA","Gm26389","ENSMUSG00000094919"
"438","protein_coding","Kctd1","ENSMUSG00000036225"
"439","protein_coding","Itih4","ENSMUSG00000021922"
"440","protein_coding","Zfp384","ENSMUSG00000038346"
"441","protein_coding","Adamts7","ENSMUSG00000032363"
"442","snoRNA","Gm25490","ENSMUSG00000089359"
"443","processed_pseudogene","Gm12183","ENSMUSG00000082454"
"444","protein_coding","Cadm2","ENSMUSG00000064115"
"445","protein_coding","Nacad","ENSMUSG00000041073"
"446","protein_coding","Tm7sf2","ENSMUSG00000024799"
"447","protein_coding","Sptbn2","ENSMUSG00000067889"
"448","snRNA","Gm23753","ENSMUSG00000088200"
"449","snRNA","Gm26000","ENSMUSG00000088616"
"450","snoRNA","Gm25438","ENSMUSG00000088906"
"451","miRNA","mmu-mir-664","ENSMUSG00000105770"
"452","miRNA","Gm24811","ENSMUSG00000093054"
"453","snoRNA","Gm22077","ENSMUSG00000088219"
"454","miRNA","Mir5106","ENSMUSG00000092677"
"455","miRNA","Gm27374","ENSMUSG00000099193"
"456","miRNA","Mir466m","ENSMUSG00000092793"
"457","snRNA","Gm25542","ENSMUSG00000080539"
"458","snRNA","Gm23788","ENSMUSG00000084484"
"459","snoRNA","Gm26490","ENSMUSG00000088504"
"460","miRNA","Mir7674","ENSMUSG00000099075"
"461","miRNA","Mir106a","ENSMUSG00000065456"
"462","snoRNA","Gm23750","ENSMUSG00000077410"
"463","miRNA","Mir875","ENSMUSG00000077890"
"464","processed_pseudogene","Gm8022","ENSMUSG00000103096"
"465","protein_coding","Hfe2","ENSMUSG00000038403"
"466","snRNA","Gm23507","ENSMUSG00000065012"
"467","snRNA","Gm22845","ENSMUSG00000088337"
"468","protein_coding","Olfr608","ENSMUSG00000073948"
"469","snRNA","Gm25312","ENSMUSG00000095731"
"470","snRNA","Gm23369","ENSMUSG00000093147"
"471","protein_coding","Gm7075","ENSMUSG00000048185"
"472","unprocessed_pseudogene","Vmn2r-ps16","ENSMUSG00000095460"
"473","miRNA","Mir1249","ENSMUSG00000080441"
"474","unprocessed_pseudogene","Gm29524","ENSMUSG00000100074"
"475","snoRNA","Gm23586","ENSMUSG00000088282"
"476","unprocessed_pseudogene","Gm14694","ENSMUSG00000080822"
"477","TEC","Gm36954","ENSMUSG00000104137"
"478","miRNA","Mir7063","ENSMUSG00000098759"
"479","miRNA","Gm24804","ENSMUSG00000092723"
"480","processed_pseudogene","Gm12375","ENSMUSG00000083983"
"481","TEC","Gm37179","ENSMUSG00000103376"
"482","miRNA","Mir15b","ENSMUSG00000065580"
"483","processed_transcript","Gm12811","ENSMUSG00000087641"
